odoo_code,odoo_name,partida,sign,income_type
6.01.01.05.004,Gastos de impuesto por publicidad,Gastos de impuesto por publicidad,-1,
6.01.01.05.005,Gastos de tasa sencamer,Gastos de tasa sencamer,-1,
6.01.01.05.006,Gasto por otras tasas,Gasto por otras tasas,-1,
6.01.01.05.007,Gasto por impuesto a las pensiones,Gasto por impuesto a las pensiones,-1,
6.01.01.06.001,Gastos de depreciación de mobiliario y equipo,Gastos de depreciación de mobiliario y equipo,-1,
6.01.01.06.002,Gastos de depreciación de vehículos,Gastos de depreciación de vehículos,-1,
6.01.01.06.003,Gastos de depreciación de edificaciones,Gastos de depreciación de edificaciones,-1,
6.01.01.06.004,Gastos de depreciación de maquinarias y equipos,Gastos de depreciación de maquinarias y equipos,-1,
6.01.01.07.001,Gastos de deterioro de mobiliario y equipo,Gastos de deterioro de mobiliario y equipo,-1,
6.01.01.07.002,Gastos de deterioro de vehículos,Gastos de deterioro de vehículos,-1,
6.01.01.07.003,Gastos de deterioro de edificaciones,Gastos de deterioro de edificaciones,-1,
6.01.01.07.004,Gastos de deterioro de maquinarias y equipos,Gastos de deterioro de maquinarias y equipos,-1,
6.01.01.07.005,Gastos de deterioro por cuentas incobrables,Gastos de deterioro por cuentas incobrables,-1,
6.01.01.08.001,Gastos de amortización de software,Gastos de amortización de software,-1,
6.01.01.09.001,Gastos de comisiones bancarias,Gastos de comisiones bancarias,-1,
6.01.01.09.002,Gastos de IGTF,Gastos de IGTF,-1,
6.01.01.10.001,Gastos de intereses sobre préstamos de terceros,Gastos de intereses sobre préstamos de terceros,-1,
6.01.01.10.002,Gastos de intereses sobre préstamos bancarios,Gastos de intereses sobre préstamos bancarios,-1,
6.01.01.10.003,Gastos de intereses de mora,Gastos de intereses de mora,-1,
6.01.02.01.001,Gastos de sueldos y salarios empleados,Gastos de sueldos y salarios empleados,-1,
6.01.02.01.002,Gastos de sueldos y salarios directivos,Gastos de sueldos y salarios directivos,-1,
6.01.02.01.003,"Gastos de horas extras, feriados y bono nocturno","Gastos de horas extras, feriados y bono nocturno",-1,
6.01.02.01.004,Gastos de complemento de sueldos y salarios empleados,Gastos de complemento de sueldos y salarios empleados,-1,
6.01.02.01.005,Gastos de complemento de sueldos y salarios directivos,Gastos de complemento de sueldos y salarios directivos,-1,
6.01.02.01.006,Gastos de Bono de alimentación empleados,Gastos de Bono de alimentación empleados,-1,
6.01.02.01.007,Gastos de Bono de alimentación directivos,Gastos de Bono de alimentación directivos,-1,
6.01.02.01.008,Gastos de vacaciones empleados,Gastos de vacaciones empleados,-1,
6.01.02.01.009,Gastos de vacaciones directivos,Gastos de vacaciones directivos,-1,
6.01.02.01.010,Gastos de complemento de vacaciones empleados,Gastos de complemento de vacaciones empleados,-1,
6.01.02.01.011,Gastos de complemento de vacaciones directivos,Gastos de complemento de vacaciones directivos,-1,
6.01.02.01.012,Gastos de otros bonos empleados,Gastos de otros bonos empleados,-1,
6.01.02.01.013,Gastos de bono vacacional empleados,Gastos de bono vacacional empleados,-1,
6.01.02.01.014,Gastos de bono vacacional directivos,Gastos de bono vacacional directivos,-1,
6.01.02.01.015,Gastos de complemento bono vacacional empleados,Gastos de complemento bono vacacional empleados,-1,
6.01.02.01.016,Gastos de complemento bono vacacional directivos,Gastos de complemento bono vacacional directivos,-1,
6.01.02.01.017,Gastos de utilidades empleados,Gastos de utilidades empleados,-1,
6.01.02.01.018,Gastos de utilidades directivos,Gastos de utilidades directivos,-1,
6.01.02.01.019,Gastos de complemento de utilidades empleados,Gastos de complemento de utilidades empleados,-1,
6.01.02.01.020,Gastos de complemento de utilidades directivos,Gastos de complemento de utilidades directivos,-1,
6.01.02.01.021,Gastos de prestaciones sociales empleados,Gastos de prestaciones sociales empleados,-1,
6.01.02.01.022,Gastos de prestaciones sociales directivos,Gastos de prestaciones sociales directivos,-1,
6.01.02.01.023,Gastos de complemento de prestaciones sociales empleados,Gastos de complemento de prestaciones sociales empleados,-1,
6.01.02.01.024,Gastos de complemento de prestaciones sociales directivos,Gastos de complemento de prestaciones sociales directivos,-1,
6.01.02.01.025,Gastos de intereses sobres prestaciones sociales empleados,Gastos de intereses sobres prestaciones sociales empleados,-1,
6.01.02.01.026,Gastos de intereses sobres prestaciones sociales directivos,Gastos de intereses sobres prestaciones sociales directivos,-1,
6.01.02.01.999,Gastos de servicios de personal externo,Gastos de servicios de personal externo,-1,
6.01.02.02.017,Gastos de aporte patronal IVSS,Gastos de aporte patronal IVSS,-1,
6.01.02.02.018,Gastos de aporte patronal SPF,Gastos de aporte patronal SPF,-1,
6.01.02.02.019,Gastos de aporte patronal FAOV,Gastos de aporte patronal FAOV,-1,
6.01.02.02.020,Gastos de aporte patronal INCES,Gastos de aporte patronal INCES,-1,
6.01.02.02.021,Gastos de bono de guardería,Gastos de bono de guardería,-1,
6.01.02.02.022,Gastos de póliza HCM,Gastos de póliza HCM,-1,
6.01.02.03.001,Gastos de salud y seguridad laboral,Gastos de salud y seguridad laboral,-1,
6.01.02.03.002,Gastos de uniformes y dotación al personal,Gastos de uniformes y dotación al personal,-1,
6.01.02.03.003,Gastos de fiestas y agasajos al personal,Gastos de fiestas y agasajos al personal,-1,
6.01.02.04.001,Gastos de donaciones y obsequios al personal,Gastos de donaciones y obsequios al personal,-1,
6.01.02.04.002,Gastos de capacitación al personal,Gastos de capacitación al personal,-1,
6.01.02.04.003,Gastos de transporte del personal,Gastos de transporte del personal,-1,
6.01.03.01.001,Gastos de pasajes por viáticos comerciales,Gastos de pasajes por viáticos comerciales,-1,
6.01.03.01.002,Gastos de comida por viáticos comerciales,Gastos de comida por viáticos comerciales,-1,
6.01.03.01.003,Gastos de hospedaje por viáticos comerciales,Gastos de hospedaje por viáticos comerciales,-1,
6.01.03.01.004,Gastos de transporte por viáticos comerciales,Gastos de transporte por viáticos comerciales,-1,
6.01.03.01.005,Otros gastos de viáticos comerciales,Otros gastos de viáticos comerciales,-1,
6.01.03.02.001,Gastos de envíos/fletes en ventas y compras no incluidas en el costo,Gastos de envíos/fletes en ventas y compras no incluidas en el costo,-1,
6.01.03.02.002,Gastos de almacenaje sobre compras no incluídos en el costo,Gastos de almacenaje sobre compras no incluídos en el costo,-1,
6.01.03.02.003,Gastos de importación no incluídos en el costo,Gastos de importación no incluídos en el costo,-1,
6.01.03.02.004,Gastos de seguro de mercancía no incluídos en el costo,Gastos de seguro de mercancía no incluídos en el costo,-1,
6.01.03.02.005,Gastos de bolsas no incluídos en el costo,Gastos de bolsas no incluídos en el costo,-1,
6.01.03.02.006,Gastos de embalaje no incluídos en el costo,Gastos de embalaje no incluídos en el costo,-1,
6.01.03.02.007,Gastos de etiquetas no incluídos en el costo,Gastos de etiquetas no incluídos en el costo,-1,
6.01.03.02.008,Gastos de armado de bicicletas no incluídos en el costo,Gastos de armado de bicicletas no incluídos en el costo,-1,
6.01.03.02.009,Gastos de títulos de propiedad no incluídos en el costo,Gastos de títulos de propiedad no incluídos en el costo,-1,
6.01.03.03.001,Gastos de comisiones empleados,Gastos de comisiones empleados,-1,
6.01.03.03.002,Gastos de comisiones empleados del taller,Gastos de comisiones empleados del taller,-1,
6.01.03.03.003,Gastos de comisiones por venta de personal externo,Gastos de comisiones por venta de personal externo,-1,
6.01.03.04.001,Gastos por gasolina,Gastos por gasolina,-1,
6.01.03.04.002,Gastos por gasoil,Gastos por gasoil,-1,
6.01.03.05.001,Gastos de representación,Gastos de representación,-1,
6.01.03.06.001,Gastos de garantías,Gastos de garantías,-1,
6.01.03.07.001,Gastos de suscripciones,Gastos de suscripciones,-1,
6.01.04.01.001,Gastos de redes sociales,Gastos de redes sociales,-1,
6.01.04.01.002,Gastos de medios publicitarios,Gastos de medios publicitarios,-1,
6.01.04.01.003,Gastos de impresiones de material gráfico,Gastos de impresiones de material gráfico,-1,
6.01.04.01.004,Gastos de decoración,Gastos de decoración,-1,
6.01.04.01.005,Gastos de muestras y material POP,Gastos de muestras y material POP,-1,
6.01.04.01.006,Gastos de campañas y lanzamientos,Gastos de campañas y lanzamientos,-1,
6.01.05.01.001,Gastos de dominio de página web,Gastos de dominio de página web,-1,
6.01.05.01.002,Gastos de servidores,Gastos de servidores,-1,
6.01.05.01.003,Gastos de software tecnológico,Gastos de software tecnológico,-1,
6.02.01.01.001,Faltante en Ventas,Faltante en Ventas,-1,
6.02.01.01.002,Pérdida en venta de activos,Pérdida en venta de activos,-1,
6.02.01.01.003,Pérdida en siniestro de activos,Pérdida en siniestro de activos,-1,
6.02.01.01.004,Pérdida en tasa cambiaria,Pérdida en tasa cambiaria,-1,
6.02.01.01.005,Pérdida por diferencia en pagos,Pérdida por diferencia en pagos,-1,
6.02.01.01.006,Multas,Multas,-1,
6.02.01.01.007,Faltante de inventarios,Faltante de inventarios,-1,
6.02.01.01.008,Deterioro de inventarios,Deterioro de inventarios,-1,
1.01.01.01.001,Caja principal en Bs.,Caja principal en Bs.,1,
1.01.01.01.002,Efectivo en bancos nacional,Efectivo en bancos nacional,1,
1.01.01.01.003,Efectivo en bancos exterior,Efectivo en bancos exterior,1,
1.01.01.01.004,Efectivo en criptomonedas,Efectivo en criptomonedas,1,
1.01.02.01.001,Fondo de caja en tienda en Bs. Suc Rodeo,Fondo de caja en tienda en Bs. Suc Rodeo,1,
1.01.02.01.002,Fondo de caja en tienda en Bs. Suc Piedemonte,Fondo de caja en tienda en Bs. Suc Piedemonte,1,
1.01.02.01.003,Fondo de caja en tienda en Bs. Suc Terracota,Fondo de caja en tienda en Bs. Suc Terracota,1,
1.01.02.01.004,Fondo de caja en tienda en Bs. Suc Barinas,Fondo de caja en tienda en Bs. Suc Barinas,1,
1.01.02.02.001,Fondo de caja en tienda en $ Suc Rodeo,Fondo de caja en tienda en $ Suc Rodeo,1,
1.01.03.01.001,Banco Mercantil,Banco Mercantil,1,
1.01.03.01.002,Banco Banesco,Banco Banesco,1,
1.01.03.01.003,Banco de Venezuela,Banco de Venezuela,1,
1.01.04.01.001,Efectivo en transito en Bs.,Efectivo en transito en Bs.,1,
1.01.04.01.002,Depositos en transito en Bs.,Depositos en transito en Bs.,1,
1.01.05.01.001,Cuentas por cobrar clientes,Cuentas por cobrar clientes,1,
1.01.05.01.002,Cuentas por cobrar AYM BIKE,Cuentas por cobrar AYM BIKE,1,
1.01.05.01.003,Cuentas por cobrar BAD APPLE,Cuentas por cobrar BAD APPLE,1,
1.02.01.01.001,Cuentas por cobrar clientes Mayor y Ciclismo L.P.,Cuentas por cobrar clientes Mayor y Ciclismo L.P.,1,
1.02.01.01.002,Edificaciones y mejoras,Edificaciones y mejoras,1,
1.02.01.01.003,Depreciación acumulada edificaciones,Depreciación acumulada edificaciones,-1,
1.02.02.01.001,Cuentas por cobrar terceros L.P.,Cuentas por cobrar terceros L.P.,1,
1.02.02.01.002,Vuelto por cobrar terceros L.P.,Vuelto por cobrar terceros L.P.,1,
1.02.03.01.001,Prestamos por cobrar ULTRABIKEX L.P.,Prestamos por cobrar ULTRABIKEX L.P.,1,
1.02.03.01.002,Prestamos por cobrar DIUX L.P.,Prestamos por cobrar DIUX L.P.,1,
1.02.04.01.001,Anticipos a proveedores L.P.,Anticipos a proveedores L.P.,1,
1.02.04.01.002,Anticipos a proveedor Specialized L.P.,Anticipos a proveedor Specialized L.P.,1,
1.02.05.01.001,Inversion en acciones,Inversion en acciones,1,
1.02.05.01.002,Amortización acumulada software,Amortización acumulada software,-1,
1.02.06.01.001,Terreno,Terreno,1,
2.01.01.01.001,Cuentas por pagar proveedores nacionales,Cuentas por pagar proveedores nacionales,-1,
2.01.01.01.002,Cuentas por pagar proveedores Internacionales,Cuentas por pagar proveedores Internacionales,-1,
2.01.01.01.003,Cuentas por pagar Specialized,Cuentas por pagar Specialized,-1,
2.01.02.01.001,Cuentas por pagar terceros,Cuentas por pagar terceros,-1,
2.01.02.01.002,Vuelto por pagar terceros,Vuelto por pagar terceros,-1,
2.01.03.01.001,Prestamos por pagar ULTRABIKEX,Prestamos por pagar ULTRABIKEX,-1,
2.01.03.01.002,Prestamos por pagar DIUX,Prestamos por pagar DIUX,-1,
2.01.03.01.003,Prestamos por pagar PLUSUX,Prestamos por pagar PLUSUX,-1,
2.01.03.01.004,Prestamos por pagar UX BARINAS,Prestamos por pagar UX BARINAS,-1,
2.01.04.01.001,Anticipos de clientes,Anticipos de clientes,-1,
2.01.04.01.002,Porción corriente préstamos LP,Porción corriente préstamos LP,-1,
2.01.05.01.001,Fondo de formación de empleados Plusux,Fondo de formación de empleados Plusux,-1,
2.01.05.01.002,Fondo para viajes de auditoria,Fondo para viajes de auditoria,-1,
2.02.01.01.001,Intereses bancarios por pagar L.P.,Intereses bancarios por pagar L.P.,-1,
2.02.01.01.002,Intereses sobre prestamos de terceros por pagar L.P.,Intereses sobre prestamos de terceros por pagar L.P.,-1,
2.02.02.01.001,Prestamos por pagar ULTRABIKEX L.P.,Prestamos por pagar ULTRABIKEX L.P.,-1,
2.02.03.01.001,Fondo de formación de empleados Plusux L.P.,Fondo de formación de empleados Plusux L.P.,-1,
3.01.01.01.001,Capital social suscrito y pagado,Capital social suscrito y pagado,-1,
3.01.02.01.001,Reserva legal,Reserva legal,-1,
3.01.02.01.002,Otras reservas,Otras reservas,-1,
3.01.03.01.001,Utilidades retenidas años anteriores,Utilidades retenidas años anteriores,-1,
3.01.03.01.002,Pérdidas acumuladas,Pérdidas acumuladas,1,
3.01.04.01.001,Utilidad / pérdida del ejercicio,Utilidad / pérdida del ejercicio,-1,
3.01.05.01.001,Ajuste por inflación patrimonio,Ajuste por inflación patrimonio,-1,
6.01.04.03.003,Gastos de alimentos y bebidas por eventos,Gastos de alimentos y bebidas por eventos,-1,
6.01.02.02.001,Gastos de bono vacacional empleados,Gastos de bono vacacional empleados,-1,
6.01.02.02.003,Gastos de complemento bono vacacional empleados,Gastos de complemento bono vacacional empleados,-1,
6.01.02.02.009,Gastos de prestaciones sociales empleados,Gastos de prestaciones sociales empleados,-1,
6.01.02.02.013,Gastos de intereses sobres prestaciones sociales empleados,Gastos de intereses sobres prestaciones sociales empleados,-1,
1.01,Activo Corriente,Activo Corriente,1,
1.01.01,Cajas,Cajas,1,
1.01.01.01,Cajas en Bolivares,Cajas en Bolivares,1,
1.01.01.02,Cajas en Divisas,Cajas en Divisas,1,
1.01.01.02.001,Caja principal en $,Caja principal en $,1,
1.01.01.02.002,Caja principal en euros cambio $,Caja principal en euros cambio $,1,
1.01.01.02.003,Caja principal en pesos cambio $,Caja principal en pesos cambio $,1,
1.01.02,Fondos,Fondos,1,
1.01.02.01,Fondos en Bolivares,Fondos en Bolivares,1,
1.01.02.01.005,Fondo de caja en tienda en Bs. Suc Los Naranjos,Fondo de caja en tienda en Bs. Suc Los Naranjos,1,
1.01.02.02,Fondos en Divisas,Fondos en Divisas,1,
1.01.02.02.002,Fondo de caja en tienda en $ Suc Piedemonte,Fondo de caja en tienda en $ Suc Piedemonte,1,
1.01.02.02.003,Fondo de caja en tienda en $ Suc Terracota,Fondo de caja en tienda en $ Suc Terracota,1,
1.01.02.02.004,Fondo de caja en tienda en $ Suc Barinas,Fondo de caja en tienda en $ Suc Barinas,1,
1.01.02.02.005,Fondo de caja en tienda en $ Suc Los Naranjos,Fondo de caja en tienda en $ Suc Los Naranjos,1,
1.01.02.02.011,Fondo de caja en tienda en euros cambio $ Suc Rodeo,Fondo de caja en tienda en euros cambio $ Suc Rodeo,1,
1.01.02.02.012,Fondo de caja en tienda en euros cambio $ Suc Piedemonte,Fondo de caja en tienda en euros cambio $ Suc Piedemonte,1,
1.01.02.02.013,Fondo de caja en tienda en euros cambio $ Suc Terracota,Fondo de caja en tienda en euros cambio $ Suc Terracota,1,
1.01.02.02.014,Fondo de caja en tienda en euros cambio $ Suc Barinas,Fondo de caja en tienda en euros cambio $ Suc Barinas,1,
1.01.02.02.015,Fondo de caja en tienda en euros cambio $ Suc Los Naranjos,Fondo de caja en tienda en euros cambio $ Suc Los Naranjos,1,
1.01.02.02.021,Fondo de caja en tienda en pesos cambio $ Suc Rodeo,Fondo de caja en tienda en pesos cambio $ Suc Rodeo,1,
1.01.02.02.022,Fondo de caja en tienda en pesos cambio $ Suc Piedemonte,Fondo de caja en tienda en pesos cambio $ Suc Piedemonte,1,
1.01.02.02.023,Fondo de caja en tienda en pesos cambio $ Suc Terracota,Fondo de caja en tienda en pesos cambio $ Suc Terracota,1,
1.01.02.02.024,Fondo de caja en tienda en pesos cambio $ Suc Barinas,Fondo de caja en tienda en pesos cambio $ Suc Barinas,1,
1.01.02.02.025,Fondo de caja en tienda en pesos cambio $ Suc Los Naranjos,Fondo de caja en tienda en pesos cambio $ Suc Los Naranjos,1,
1.01.02.02.031,Fondo de caja en mayor CCS en $,Fondo de caja en mayor CCS en $,1,
1.01.02.02.041,Fondo de caja en mayor CCS en euros cambio $,Fondo de caja en mayor CCS en euros cambio $,1,
1.01.03,Bancos,Bancos,1,
1.01.03.01,Bancos en Bolivares,Bancos en Bolivares,1,
1.01.03.01.004,Banco Venezolano de Credito,Banco Venezolano de Credito,1,
1.01.03.01.005,Banco del Tesoro,Banco del Tesoro,1,
1.01.03.01.006,Bancamiga Cuenta Corriente,Bancamiga Cuenta Corriente,1,
1.01.03.01.007,Banco Provincial,Banco Provincial,1,
1.01.03.01.008,Banco Nacional de Crédito BNC,Banco Nacional de Crédito BNC,1,
1.01.03.01.011,Banco Bancamiga Sr Gilberto,Banco Bancamiga Sr Gilberto,1,
1.01.03.01.012,Banco BNC Sr Gilberto,Banco BNC Sr Gilberto,1,
1.01.03.01.998,Banco transitorio migración Terracota,Banco transitorio migración Terracota,1,
1.01.03.01.999,Banco transitorio migración Barinas,Banco transitorio migración Barinas,1,
1.01.03.02,Bancos en Divisas,Bancos en Divisas,1,
1.01.03.02.001,Bank Of America,Bank Of America,1,
1.01.03.02.002,Banesco Panamá UX,Banesco Panamá UX,1,
1.01.03.02.003,Banco Mercantil Cuenta en $,Banco Mercantil Cuenta en $,1,
1.01.03.02.004,Paypal,Paypal,1,
1.01.03.02.005,Criptomonedas USDT,Criptomonedas USDT,1,
1.01.03.02.006,"Chase Bank, UX GROUP LLC","Chase Bank, UX GROUP LLC",1,
1.01.03.02.007,Bancamiga Cash USD,Bancamiga Cash USD,1,
1.01.03.02.008,Bancamiga Moneda Extranjera USD,Bancamiga Moneda Extranjera USD,1,
1.01.03.02.009,Bancamiga Sr Gilberto Cash USD,Bancamiga Sr Gilberto Cash USD,1,
1.01.03.02.010,BNC Cash USD,BNC Cash USD,1,
1.01.03.02.011,Amerant Camilo,Amerant Camilo,1,
1.01.03.02.012,Mercantil Panamá Ultrax,Mercantil Panamá Ultrax,1,
1.01.03.02.999,Banco Custodia Mercantil Camilo USD,Banco Custodia Mercantil Camilo USD,1,
1.01.04,Transito,Transito,1,
1.01.04.01,Transito en Bolivares,Transito en Bolivares,1,
1.01.04.01.003,Pagos del fondo en transito,Pagos del fondo en transito,1,
1.01.04.01.999,Pagos de facturas cashea en tránsito,Pagos de facturas cashea en tránsito,1,
1.01.04.02,Transito en Divisas,Transito en Divisas,1,
1.01.04.02.001,Efectivo en transito en $,Efectivo en transito en $,1,
1.01.04.02.002,Depositos en transito en $,Depositos en transito en $,1,
1.01.04.02.998,Efectivo en transito por eventos,Efectivo en transito por eventos,1,
1.01.04.02.999,Abonos o pagos en transito en $,Abonos o pagos en transito en $,1,
1.01.05,Deudores Comerciales,Deudores Comerciales,1,
1.01.05.01,Cuentas por cobrar clientes,Cuentas por cobrar clientes,1,
1.01.05.01.004,Cuentas por cobrar ROYAL BIKE,Cuentas por cobrar ROYAL BIKE,1,
1.01.05.01.005,Cuentas por cobrar SPRINT BIKE,Cuentas por cobrar SPRINT BIKE,1,
1.01.05.01.006,Cuentas por cobrar TEAM BIKE,Cuentas por cobrar TEAM BIKE,1,
1.01.05.01.007,Cuentas por cobrar TU BICI,Cuentas por cobrar TU BICI,1,
1.01.05.01.008,Cuentas por cobrar XTREME BIKE,Cuentas por cobrar XTREME BIKE,1,
1.01.05.01.009,Cuentas por cobrar SU BICICLETA,Cuentas por cobrar SU BICICLETA,1,
1.01.05.01.010,Cuentas por cobrar TOPBIKE,Cuentas por cobrar TOPBIKE,1,
1.01.05.01.011,Cuentas por cobrar UBIKE OSTDOOR SPORT C.A.,Cuentas por cobrar UBIKE OSTDOOR SPORT C.A.,1,
1.01.05.01.012,Cuentas por cobrar DINO BIKE STORE C.A.,Cuentas por cobrar DINO BIKE STORE C.A.,1,
1.01.05.02,Cuentas por cobrar empresas relacionadas,Cuentas por cobrar empresas relacionadas,1,
1.01.05.02.001,Cuentas por cobrar ULTRABIKEX,Cuentas por cobrar ULTRABIKEX,1,
1.01.05.02.002,Cuentas por cobrar DIUX,Cuentas por cobrar DIUX,1,
1.01.05.02.003,Cuentas por cobrar PLUSUX,Cuentas por cobrar PLUSUX,1,
1.01.05.02.004,Cuentas por cobrar UX BARINAS,Cuentas por cobrar UX BARINAS,1,
1.01.05.03,Cuentas por cobrar empresas externas del grupo,Cuentas por cobrar empresas externas del grupo,1,
1.01.05.03.001,Cuentas por cobrar UX CARACAS,Cuentas por cobrar UX CARACAS,1,
1.01.05.03.002,Cuentas por cobrar UX PUERTO ORDAZ,Cuentas por cobrar UX PUERTO ORDAZ,1,
